,Trace1,Trace2,Trace3,Trace4
71,-0.004128799,0.028353997,0.031309914,-0.063146256
72,0.0021590826,0.029838724,0.02713903,-0.05620542
73,0.007880402,0.03804336,0.011783065,-0.05371378
74,-0.0013866372,0.04761967,0.0011424813,-0.05237549
75,0.0030118069,0.04188919,0.007101932,-0.050890252
76,0.0062076026,0.05630384,-0.0076976074,-0.05082349
77,-0.010182757,0.057201367,-0.0011109274,-0.053840395
78,0.00024736687,0.05854612,-0.008437584,-0.053045787
79,-0.0041069044,0.06247347,-0.0038653503,-0.06440397
80,-0.0017012234,0.067167215,-0.0025066095,-0.062119137
81,0.004258628,0.061289072,-0.0020540806,-0.06735258
82,-0.009324271,0.06947641,0.015327875,-0.083632655
83,-0.003350592,0.06620855,0.013666294,-0.07567276
84,0.00321116,0.06051383,0.009400748,-0.06529412
85,-0.005389064,0.056562636,0.0123087065,-0.054918163
86,-0.008236088,0.054037333,0.013150657,-0.05673874
87,-0.013144245,0.03052129,0.0143539375,-0.033740748
88,-0.02370996,0.036573634,0.020094434,-0.028849168
89,-0.015559914,0.04601843,0.017971858,-0.015120969
90,-0.013077411,0.0004599151,0.022141973,-0.01992392
91,-0.022485418,0.022885391,0.029595615,-0.022090964
92,-0.019262351,0.02041008,0.026928542,-0.023293428
93,-0.018212577,0.02807674,0.023746988,-0.027614472
94,-0.030125367,0.027866011,0.028913358,-0.029730104
95,-0.030328177,0.017380254,0.029448235,-0.021422587
96,-0.019135978,0.0039438875,0.02769815,-0.01930619
97,-0.024195092,0.0062073157,0.03472697,-0.019596638
98,-0.015937494,0.0027829478,0.033349756,-0.017713519
99,-0.005448601,-0.0030844307,0.01636569,-0.01667834
100,-0.011138039,-0.008706855,0.029754924,-0.007184091
101,0.001895199,-0.018476205,0.009702048,0.011190515
102,-0.004139938,-0.019956317,-0.011559495,0.031171987
103,0.004013566,-0.024782734,-0.021296175,0.046167877
104,0.016155284,-0.03154264,-0.03964168,0.058792982
105,0.011343154,-0.044569466,-0.025374321,0.05677404
106,0.021197112,-0.029493017,-0.060907453,0.07378849
107,0.028437972,-0.048137654,-0.052325185,0.07326514
108,0.019286165,-0.040997434,-0.057387657,0.078498974
109,0.026275432,-0.035215806,-0.06470354,0.078060806
110,0.02742469,-0.04366348,-0.06366265,0.076615855
111,0.01218858,-0.03112118,-0.049249064,0.06507772
112,0.027343258,-0.039761122,-0.05722835,0.06876914
113,0.018743802,-0.03133768,-0.05995776,0.07714495
114,0.02317259,-0.043784995,-0.035309177,0.05995286
115,0.032776494,-0.031906035,-0.044236615,0.057524525
116,0.01975478,-0.033680324,-0.03324663,0.045133464
117,0.019689096,-0.037558068,-0.020035176,0.046604123
118,0.02096127,-0.03598105,-0.020990642,0.039401617
119,0.0051117367,-0.032666665,-0.013034831,0.036120355
120,0.009451412,-0.029079633,-0.012592692,0.034747917
121,0.0070937444,-0.029948704,-0.012951713,0.03126177
122,-0.0027041347,-0.028892744,-0.0059298207,0.036069326
123,0.003992824,-0.026029041,-0.00837871,0.04251559
124,0.0072446996,-0.028995417,-0.01288899,0.038664177
125,0.005449369,-0.019064942,-0.010911101,0.03755111
126,0.009296616,-0.011645542,-0.014688716,0.031856094
127,0.010331792,-0.012255046,-0.022870407,0.022599729
128,0.011469142,-0.004560697,-0.02547822,0.021871498
129,0.0183063,-0.01185512,-0.026400592,0.018655462
130,0.018718835,-0.010100059,-0.027172893,0.015742537
131,0.015451979,-0.004543392,-0.025911508,0.021101445
132,0.0074782385,-0.0074409344,-0.022515234,0.021301728
133,-0.012701751,-0.016666155,-0.004101235,0.02951601
134,-0.0061342376,-0.010983357,-0.0014791844,0.028988443
135,-0.0011646217,-0.016723067,0.0067852386,0.006650771
136,0.00013674318,-0.016552329,0.0077487864,0.012458973
137,0.013564462,-0.012449625,0.0043559745,0.009589787
138,0.010469687,-0.01020081,0.0017389266,-0.0027260717
139,0.0067322967,-0.00092790567,0.007897706,-0.0051536374
140,0.0028835142,-0.0025410694,0.0052683437,-0.01071398
141,-0.00082045904,0.0023953272,0.0073027993,-0.021642823
142,-0.009657679,0.0034262906,0.013632046,-0.0059259925
143,-0.01568206,0.016254308,0.0141707705,-0.013452713
144,-0.01295488,0.040961284,0.012849356,-0.029383639
145,-0.02777538,0.02483234,0.017607834,-0.018772868
146,-0.0256163,0.040875915,0.017834868,-0.026067846
147,-0.016041204,0.04045407,0.0099667935,-0.032126207
148,-0.036584176,0.042348336,0.015074674,-0.02943697
149,-0.020291766,0.045225497,0.013235698,-0.03830428
150,-0.0054566674,0.037784565,-0.00062184234,-0.039646406
151,-0.01030644,0.03747616,0.0051394342,-0.03804491
152,0.0046788445,0.035881456,0.0024777493,-0.02970785
153,0.005933348,0.032602444,0.0012359886,-0.038922396
154,0.0063581737,0.03626946,0.0067190523,-0.04280604
155,0.0050840806,0.03248054,0.0038430318,-0.04062173
156,0.005340666,0.030095983,0.0013279566,-0.037905633
